date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments,total_enrolments_growth_rate_1m,total_enrolments_ma_3m,total_enrolments_ma_6m,total_enrolments_ma_12m,total_enrolments_volatility_6m,total_enrolments_seasonal_index,rolling_mean,rolling_std,zscore,anomaly_zscore,anomaly_severity_zscore
,Odisha,Bargarh,768052,2,0,0,2,0.0,2.333333333333333,2.6666666666666665,2.9166666666666665,38.00584750329934,68.57142857142857,2.9166666666666665,0.9003366373784941,-1.0181376927364862,0,1.0181376927364862
,Kerala,Malappuram,679575,0,0,1,1,-75.0,3.6666666666666665,4.333333333333333,4.166666666666667,76.08779042561233,24.0,4.166666666666667,2.0375267241232384,-1.5541718443125232,0,1.5541718443125232
2025-11-09,Madhya Pradesh,Dhar,454331,7,4,0,11,37.5,11.0,15.333333333333334,14.0,71.91524593799176,78.57142857142857,14.0,8.011355577041629,-0.3744684618165227,0,0.3744684618165227
2025-04-09,West Bengal,South 24 Parganas,743399,6,4,1,11,1000.0,6.666666666666667,5.166666666666667,3.583333333333333,456.72480086402135,306.97674418604646,3.583333333333333,3.654594451654078,2.0294089439417458,0,2.0294089439417458
,Kerala,Kollam,691560,1,0,0,1,-50.0,1.6666666666666667,2.0,1.75,90.93139457040392,57.14285714285714,1.75,0.7537783614443729,-0.9949874371066676,0,0.9949874371066676
,Tamil Nadu,Chengalpattu,603304,2,0,0,2,100.0,2.6666666666666665,3.5,2.6666666666666665,143.00260451460028,75.0,2.6666666666666665,1.8748737331219116,-0.3555795011094314,0,0.3555795011094314
2025-08-09,Gujarat,Gir Somnath,362560,5,4,0,9,350.0,4.0,3.0,2.583333333333333,150.800334020654,348.38709677419354,2.583333333333333,2.151461800443065,2.982468322396075,0,2.982468322396075
2025-08-09,Rajasthan,Rajsamand,313341,4,0,0,4,300.0,2.333333333333333,4.833333333333333,4.25,380.99916668383145,94.11764705882352,4.25,3.6958207355188257,-0.0676439735286307,0,0.0676439735286307
2025-10-09,Orissa,Koraput,764002,0,1,0,1,-50.0,1.3333333333333333,1.1666666666666667,1.3333333333333333,49.15960401250876,75.0,1.3333333333333333,0.6513389472789296,-0.5117663157191589,0,0.5117663157191589
,Bihar,Purnia,854203,12,17,0,29,-40.81632653061224,27.33333333333333,37.16666666666666,27.25,472.9892710583746,106.42201834862388,27.25,23.894179587962054,0.0732395934983955,0,0.0732395934983955
2025-06-09,Odisha,Gajapati,761206,4,0,0,4,300.0,4.0,2.5,2.5,273.94992949441007,160.0,2.5,2.153221687695812,0.6966305460192386,0,0.6966305460192386
2025-02-09,Kerala,Thrissur,680581,1,0,0,1,0.0,1.0,1.3333333333333333,1.1666666666666667,91.08400680852976,85.71428571428571,1.1666666666666667,0.5773502691896226,-0.2886751345948146,0,0.2886751345948146
,Uttar Pradesh,Deoria,274208,3,0,0,3,-25.0,8.0,6.166666666666667,6.166666666666667,271.1022162147489,48.648648648648646,6.166666666666667,5.096047190685278,-0.6213966527733111,0,0.6213966527733111
2025-01-09,Uttar Pradesh,Rae Bareli,229216,0,1,0,1,-80.0,4.333333333333333,4.166666666666667,3.888888888888889,123.5129919630865,25.71428571428572,3.888888888888889,2.5712081034235856,-1.1235531208237517,0,1.1235531208237517
,Rajasthan,Rajsamand,313321,3,0,0,3,-50.0,3.333333333333333,3.5,4.75,235.37425871719023,63.1578947368421,4.75,4.78871780143894,-0.365442290099899,0,0.365442290099899
,Tamil Nadu,Tiruvannamalai,632316,4,0,0,4,33.33333333333333,2.6666666666666665,3.5,7.166666666666667,103.83411931658785,55.81395348837209,7.166666666666667,5.491039532867638,-0.576697116768509,0,0.576697116768509
,West Bengal,Paschim Medinipur,721304,5,0,0,5,-78.26086956521739,10.333333333333334,8.0,6.5,288.3991154428351,76.92307692307693,6.5,5.680909018170168,-0.2640422501403046,0,0.2640422501403046
2025-01-09,Jharkhand,Dumka,814110,2,3,0,5,-28.57142857142857,66.66666666666667,97.4,97.4,91.46328428800466,5.133470225872689,97.4,93.68724566343062,-0.9862601824366252,0,0.9862601824366252
,Telangana,Nizamabad,503164,5,0,0,5,25.0,3.333333333333333,3.333333333333333,4.5,178.12171049594198,111.11111111111111,4.5,3.942772444036629,0.1268143183754469,0,0.1268143183754469
,Gujarat,Porbandar,360575,11,1,0,12,300.0,6.666666666666667,5.833333333333333,4.833333333333333,333.58262283150185,248.27586206896552,4.833333333333333,3.511884584284248,2.040689690867872,0,2.040689690867872
,Uttarakhand,Dehradun,248199,5,1,0,6,200.0,4.0,2.833333333333333,3.6666666666666665,100.00000000000934,163.63636363636363,3.6666666666666665,2.806917861070313,0.8312795203930919,0,0.8312795203930919
2025-09-11,Telangana,Warangal,506324,2,0,0,2,100.0,1.3333333333333333,1.8333333333333333,1.9166666666666667,138.21782325976145,104.34782608695652,1.9166666666666667,1.3113721705515078,0.0635466690575618,0,0.0635466690575618
,Rajasthan,Jaipur,302029,5,2,0,7,0.0,5.333333333333333,4.166666666666667,4.833333333333333,119.1015750743262,144.82758620689654,4.833333333333333,2.9490625115456672,0.7346967580999394,0,0.7346967580999394
,Uttar Pradesh,Amethi,227809,6,9,0,15,1400.0,7.333333333333333,5.166666666666667,4.666666666666667,583.3390626186194,321.4285714285714,4.666666666666667,4.830458915396477,2.139203233961299,0,2.139203233961299
2025-05-11,Madhya Pradesh,Sheopur,476337,14,10,0,24,71.42857142857142,14.333333333333334,10.833333333333334,10.416666666666666,148.2686901452885,230.40000000000003,10.416666666666666,7.692479601809293,1.7657938709565764,0,1.7657938709565764
,Bihar,Buxar,802127,0,3,0,3,-25.0,3.0,5.666666666666667,6.833333333333333,85.52939715547096,43.90243902439025,6.833333333333333,4.858606858561478,-0.7889778788293019,0,0.7889778788293019
,Uttar Pradesh,Firozabad,205147,1,4,0,5,66.66666666666667,5.333333333333333,9.333333333333334,11.083333333333334,1286.38673258657,45.11278195488722,11.083333333333334,11.99589576277588,-0.5071178887874594,0,0.5071178887874594
2025-01-09,Telangana,Medak,502210,4,0,0,4,300.0,3.6666666666666665,3.6666666666666665,3.1666666666666665,131.27755442685654,126.31578947368422,3.1666666666666665,1.898963034411307,0.4388359953471517,0,0.4388359953471517
2025-08-11,Maharashtra,Hingoli,431705,9,1,0,10,400.0,5.333333333333333,7.166666666666667,8.666666666666666,206.9925819608957,115.3846153846154,8.666666666666666,5.898125023077001,0.2260605409543769,0,0.2260605409543769
2025-10-09,Madhya Pradesh,Umaria,484661,33,5,0,38,31.034482758620683,29.666666666666668,18.33333333333333,19.75,185.47063815882643,192.40506329113924,19.75,18.52823398344954,0.9849832432115184,0,0.9849832432115184
,Madhya Pradesh,Hoshangabad,461668,5,1,0,6,20.0,21.0,16.0,16.916666666666668,2100.019955220744,35.4679802955665,16.916666666666668,15.605700201781357,-0.699530717975766,0,0.699530717975766
,Kerala,Palakkad,679534,6,0,0,6,20.0,4.333333333333333,4.5,4.416666666666667,98.15855561700316,135.8490566037736,4.416666666666667,1.8319554050414608,0.8642859585861475,0,0.8642859585861475
2025-12-09,Kerala,Kollam,691021,1,0,0,1,0.0,1.0,1.1666666666666667,1.5833333333333333,60.03471218109284,63.15789473684211,1.5833333333333333,0.9962049198955936,-0.5855555636027866,0,0.5855555636027866
2025-11-11,Karnataka,Bengaluru,560011,0,1,0,1,-50.0,1.3333333333333333,2.1666666666666665,2.833333333333333,182.59447072882807,35.29411764705882,2.833333333333333,1.80067327476692,-1.018137692730871,0,1.018137692730871
,Kerala,Kollam,691306,8,0,0,8,100.0,5.333333333333333,4.166666666666667,3.9166666666666665,54.17734937393286,204.2553191489362,3.9166666666666665,2.020725942163682,2.0207259421636987,0,2.0207259421636987
2025-05-11,Maharashtra,Nagpur,441105,2,0,0,2,0.0,2.0,3.5,4.5,219.5186662276664,44.44444444444444,4.5,3.316624790357552,-0.75377836144392,0,0.75377836144392
2025-08-11,West Bengal,Murshidabad,742132,1,0,0,1,-50.0,3.333333333333333,2.833333333333333,6.166666666666667,182.27231627132,16.216216216216214,6.166666666666667,6.393652154972669,-0.8080931745165847,0,0.8080931745165847
,Uttar Pradesh,Kushinagar,274207,1,0,0,1,-66.66666666666667,2.333333333333333,3.0,5.916666666666667,42.540958850566405,16.901408450704224,5.916666666666667,3.964807305493735,-1.240077080127958,0,1.240077080127958
2025-03-11,Uttar Pradesh,Banda,210126,2,0,0,2,0.0,5.666666666666667,5.833333333333333,8.75,215.55869669386885,22.857142857142858,8.75,8.863869460802993,-0.761518435018616,0,0.761518435018616
2025-02-09,Telangana,Nalgonda,508222,1,1,0,2,0.0,3.0,5.333333333333333,4.833333333333333,242.8447812298958,41.3793103448276,4.833333333333333,5.219427578041891,-0.5428436913758807,0,0.5428436913758807
